detector,rad_type,det_id,filename,signal,proton_co60_ratio
mts,Co60,44,44_50.dat,85328675.5,
mts,Co60,45,45_51.dat,88171367.5,
mts,Co60,46,46_52.dat,87583791.5,
mts,Co60,47,47_53.dat,89332955.5,
mts,Co60,48,48_54.dat,77086881.0,
mts,Co60,49,49_55.dat,85738629.5,
mts,Co60,50,50_56.dat,88628987.5,
mts,Co60,51,51_57.dat,85466635.0,
mts,Co60,52,52_58.dat,85968940.0,
mts,Co60,53,53_59.dat,83470309.0,
mts,Co60,54,54_60.dat,84918783.5,
mts,Co60,55,55_61.dat,87560221.0,
mts,Co60,56,56_62.dat,85865172.0,
mts,Co60,57,57_63.dat,81292883.5,
mts,Co60,58,58_64.dat,83763231.0,
mts,Co60,59,59_65.dat,85547989.0,
mts,Co60,60,60_66.dat,78805728.0,
mts,Co60,61,61_69.dat,82457504.0,
mts,Co60,62,62_70.dat,85806973.0,
mts,Co60,63,63_71.dat,86193622.5,
mts,Co60,64,64_72.dat,77966457.0,
mts,Co60,65,65_73.dat,86622370.0,
mts,Co60,66,66_74.dat,82567018.0,
mts,Co60,67,67_75.dat,80914325.0,
mts,Co60,68,68_76.dat,83688043.0,
mts,Co60,69,69_77.dat,82952002.0,
mts,Co60,70,70_78.dat,86194945.5,
mts,proton,1,1_4.dat,91539262.5,0.9746663654695475
mts,proton,2,2_5.dat,89185626.5,0.9882391666919168
mts,proton,4,4_7.dat,86729537.5,0.971826326661222
mts,proton,5,5_8.dat,89078415.0,1.0087106740004077
mts,proton,6,6_9.dat,87348743.0,1.0034030326331638
mts,proton,7,7_10.dat,95026461.5,1.0336757627375055
mts,proton,8,8_11.dat,95999775.5,1.0480838752044266
mts,proton,9,9_12.dat,89404317.5,1.035186597412477
mts,proton,10,10_13.dat,94364450.0,1.045768453623653
mts,proton,11,11_14.dat,92689150.5,1.0441382248009534
mts,proton,12,12_15.dat,86781515.5,1.053430096283019
mts,proton,13,13_16.dat,92044782.5,1.0401379205010013
mts,proton,14,14_17.dat,88802998.5,1.0383275378859975
mts,proton,15,15_18.dat,90773982.0,1.0366321236946503
mts,proton,16,16_19.dat,90458758.5,1.0139622307224145
mts,proton,17,17_20.dat,92033462.0,1.0169982043026677
mts,proton,18,18_21.dat,90152079.5,1.0336373433516604
mts,proton,19,19_22.dat,91051708.5,1.0408750298988743
mts,proton,20,20_27.dat,94153090.5,1.0595327403550745
mts,proton,21,21_28.dat,91897620.5,1.04829224123823
mts,proton,22,22_29.dat,90633029.0,1.05851003965204
mts,proton,23,23_30.dat,95389027.0,1.0641314644477486
mts,proton,24,24_31.dat,92320474.0,1.0721690381016689
mts,proton,25,25_32.dat,93611756.5,1.079793108324713
mts,proton,26,26_33.dat,90869675.5,1.0785795549120587
mts,proton,27,27_34.dat,93757041.5,1.071441177568838
mts,proton,28,28_35.dat,92775168.0,1.078360011444834
mts,proton,29,29_36.dat,93845281.0,1.0796763187373506
mts,proton,30,30_37.dat,96840710.0,1.0832852669104607
mts,proton,31,31_38.dat,95396939.5,1.05825905198967
mts,proton,32,32_39.dat,94637232.0,1.0688211889020633
mts,proton,33,33_40.dat,95948532.5,1.0518581509164697
mts,proton,34,34_41.dat,94379917.0,1.0728439822541809
mts,proton,35,35_42.dat,96550035.5,1.0771643014783965
mts,proton,36,36_43.dat,97211827.0,1.0868757832945926
mts,proton,37,37_44.dat,96097022.5,1.1138529530266528
mts,proton,38,38_45.dat,103556139.5,1.1370008408641084
mts,proton,39,39_46.dat,100927438.5,1.1284963512544044
mts,proton,40,40_49.dat,98899424.5,1.1252049898774195
mts,proton,41,41_50.dat,95832504.5,1.1331205763797132
mts,proton,42,42_51.dat,100751866.0,1.1178892644397134
mts,proton,43,43_52.dat,95727043.5,1.1021285081003191
mts,proton,44,44_53.dat,96322757.0,1.1288439253929354
mts,proton,45,45_54.dat,97873668.5,1.1100391348699452
mts,proton,46,46_55.dat,94301327.5,1.0766983923046995
mts,proton,47,47_56.dat,97761728.0,1.0943523300312168
mts,proton,48,48_57.dat,84919789.5,1.1016114337276144
mts,proton,49,49_58.dat,92122285.5,1.0744548406853178
mts,proton,50,50_59.dat,96215828.0,1.085602247233164
mts,proton,51,51_60.dat,92323221.0,1.080225294935269
mts,proton,52,52_61.dat,92056514.5,1.0708113244155388
mts,proton,53,53_62.dat,87977160.5,1.0539934685038725
mts,proton,54,54_63.dat,89581205.0,1.0549044782300727
mts,proton,55,55_64.dat,90097086.5,1.0289728083258265
mts,proton,56,56_65.dat,89161817.5,1.0383932789420138
mts,proton,57,57_66.dat,85171265.5,1.0477087517753014
mts,proton,58,58_67.dat,87631688.0,1.0461832352192812
mts,proton,59,59_68.dat,90836933.0,1.0618242937306217
mts,proton,60,60_71.dat,84080672.5,1.0669360544451794
mts,proton,61,61_72.dat,82085030.0,0.9954828368319274
mts,proton,62,62_73.dat,85355968.5,0.9947439644561288
mts,proton,63,63_74.dat,85347119.5,0.9901790529803989
mts,proton,64,64_75.dat,78242427.0,1.0035395990868228
mts,proton,65,65_76.dat,85414916.5,0.986060719650132
mts,proton,66,66_77.dat,83243857.5,1.0081974560350477
mts,proton,67,67b_81.dat,80129301.0,0.9902980838065447
mts,proton,68,68b_82.dat,80933306.5,0.9670832725769439
mts,proton,69,69b_83.dat,81610396.0,0.9838267194563912
mts,proton,70,70b_84.dat,85796981.0,0.9953829717312136
